"step","type","amount","name_orig","oldbalance_org","newbalance_orig","name_dest","oldbalance_dest","newbalance_dest","is_fraud","Class","type_numeric"
238,"CASH_OUT",102785.96,"C182876937",0,0,"C629733930",8461780.86,8564566.82,"0","0",2
191,"CASH_OUT",35335.9,"C840272838",0,0,"C1788364399",226907.4,262243.3,"0","0",2
137,"TRANSFER",215620.92,"C332431153",0,0,"C532110459",392593.34,608214.25,"0","0",1
33,"CASH_OUT",15099.09,"C1023700720",240496,225396.91,"C861515347",963536,978635.09,"0","0",2
369,"CASH_OUT",139444.22,"C406030079",0,0,"C837929256",10136430.45,10275874.67,"0","0",2
305,"CASH_OUT",258169,"C639045393",198989,0,"C99074402",123698.35,381867.36,"0","0",2
138,"CASH_OUT",140162.75,"C250856876",0,0,"C2056037330",328198.92,468361.66,"0","0",2
238,"TRANSFER",111327.45,"C1606243481",0,0,"C1481415354",596131.64,707459.09,"0","0",1
236,"TRANSFER",184347.55,"C675199381",12366.78,0,"C790053083",714658.61,899006.16,"0","0",1
14,"CASH_OUT",8908.19,"C254393848",0,0,"C1937962514",2619646.08,3576088.4,"0","0",2
681,"CASH_OUT",311975.73,"C491965557",666159,354183.27,"C1859684779",0,311975.73,"0","0",2
305,"CASH_OUT",90795.92,"C1745824138",20512,0,"C1507162118",3636330.06,3727125.98,"0","0",2
206,"CASH_OUT",295730.47,"C787209039",0,0,"C1166815820",483717.35,779447.82,"0","0",2
16,"CASH_OUT",20582.61,"C1521319956",318,0,"C110819689",216987.65,940003.15,"0","0",2
331,"CASH_OUT",163738.91,"C1426134254",24810.54,0,"C1476255160",711454.95,875193.86,"0","0",2
36,"CASH_OUT",119500.43,"C1193319122",643454.98,523954.55,"C652540949",12712.31,132212.74,"0","0",2
400,"CASH_OUT",157825.25,"C303233059",105205,0,"C1315247512",46956.43,204781.68,"0","0",2
451,"CASH_OUT",59571.85,"C1525963892",40414,0,"C1141828962",535151.82,594723.67,"0","0",2
204,"CASH_OUT",91116.52,"C2102130885",0,0,"C1339555638",3540636.68,3631753.2,"0","0",2
207,"CASH_OUT",243507.13,"C1023913095",25815,0,"C2002509474",1474303.38,1717810.51,"0","0",2
256,"CASH_OUT",344718.1,"C1753354244",854,0,"C322963666",316429.94,661148.04,"0","0",2
370,"CASH_OUT",29386.57,"C1348597835",0,0,"C178966442",829104.74,858491.32,"0","0",2
323,"CASH_OUT",405691.84,"C552947334",20408,0,"C58940415",0,405691.84,"0","0",2
325,"CASH_OUT",402107.16,"C846022709",0,0,"C283051821",1461882.48,1863989.63,"0","0",2
9,"CASH_OUT",253424.33,"C1597359897",0,0,"C46947465",683881.55,1083841.97,"0","0",2
397,"CASH_OUT",134844.86,"C412649439",45,0,"C2056339529",0,134844.86,"0","0",2
699,"TRANSFER",53415.53,"C1779806689",0,0,"C616946479",376183.87,429599.41,"0","0",1
326,"CASH_OUT",304397.66,"C1655255495",72989,0,"C1027207301",1363122.91,1667520.57,"0","0",2
260,"CASH_OUT",24557.93,"C1501827642",0,0,"C1732222619",126194.33,150752.27,"0","0",2
333,"CASH_OUT",400230.36,"C1613965719",0,0,"C564677554",8998789.41,9399019.77,"0","0",2
695,"TRANSFER",737183.33,"C1803182569",496291.29,0,"C101951171",1881826.13,2619009.45,"0","0",1
44,"CASH_OUT",225287.59,"C1772640032",106051,0,"C60662607",0,225287.59,"0","0",2
351,"CASH_OUT",308609.16,"C1322041386",0,0,"C1401984302",1379569.73,1688178.89,"0","0",2
348,"CASH_OUT",212093.45,"C903117831",0,0,"C2100895029",1920941.63,2133035.09,"0","0",2
187,"CASH_OUT",107247.52,"C937460909",126125.02,18877.5,"C1322961780",13503531.23,13610778.76,"0","0",2
204,"CASH_OUT",19590.4,"C498724756",93454,73863.6,"C1822652234",298020.52,317610.92,"0","0",2
163,"CASH_OUT",245920.35,"C1405310042",134892,0,"C1965694159",591413.97,837334.32,"0","0",2
177,"CASH_OUT",175690.61,"C695093870",65195,0,"C355172230",0,175690.61,"0","0",2
345,"CASH_OUT",17940.58,"C211497944",0,0,"C918531282",207693.22,225633.8,"0","0",2
235,"CASH_OUT",237785.98,"C1320476448",143929,0,"C624640922",0,237785.98,"0","0",2
226,"CASH_OUT",197927.63,"C1866013843",82077.38,0,"C1096232",1320187.19,1518114.82,"0","0",2
659,"CASH_OUT",80336.56,"C517616712",33043,0,"C429876749",501171.17,581507.73,"0","0",2
161,"CASH_OUT",4362.72,"C1608943046",0,0,"C145068942",3657879.03,3662241.75,"0","0",2
9,"CASH_OUT",320592.28,"C2037522032",0,0,"C115885991",5364013.27,7097788.62,"0","0",2
565,"TRANSFER",780978.82,"C2043741242",10283.39,0,"C2069851376",3751295.29,4532274.11,"0","0",1
41,"CASH_OUT",437125.66,"C991367465",129,0,"C870002151",50993.6,338934.57,"0","0",2
305,"CASH_OUT",251872.86,"C763152429",5598,0,"C561199581",136021.31,387894.17,"0","0",2
370,"TRANSFER",1267305.61,"C528679038",0,0,"C1832463532",4366826,5634131.61,"0","0",1
132,"TRANSFER",1080116.75,"C1655315309",156516.09,0,"C1839355979",607274.69,1698672.49,"0","0",1
403,"CASH_OUT",65300.53,"C272969705",0,0,"C262646906",2589433.72,2654734.25,"0","0",2
94,"TRANSFER",57504.66,"C612716667",521,0,"C23678140",599519.96,657024.62,"0","0",1
42,"CASH_OUT",24331.94,"C1497772209",0,0,"C1857529769",2214963.21,2239295.16,"0","0",2
357,"TRANSFER",405179.01,"C1312412600",50236.13,0,"C620399928",1098187.72,1503366.73,"0","0",1
283,"TRANSFER",79061.9,"C1052252774",161477.43,82415.52,"C1822198460",908601.33,987663.24,"0","0",1
204,"CASH_OUT",194166.1,"C969646045",52829,0,"C234739793",6957319.34,7151485.44,"0","0",2
691,"CASH_OUT",36409.41,"C675496941",20617,0,"C184835285",0,36409.41,"0","0",2
212,"CASH_OUT",20625.36,"C1045137729",161579.63,140954.27,"C1383213913",318219.7,338845.06,"0","0",2
164,"CASH_OUT",138344.26,"C98549016",876787.76,738443.5,"C155237847",10189966.78,10328311.04,"0","0",2
35,"CASH_OUT",129429.43,"C1169760233",0,0,"C15387840",138523.5,393193.82,"0","0",2
333,"CASH_OUT",257959.95,"C77707814",36648.56,0,"C1871437847",1649724.83,1907684.78,"0","0",2
46,"CASH_OUT",121826.44,"C846860898",0,0,"C2061223854",2126525.4,2248351.84,"0","0",2
353,"CASH_OUT",116617.39,"C659425555",0,0,"C2130131329",896625.67,1013243.06,"0","0",2
166,"CASH_OUT",82657.47,"C347181167",0,0,"C397191271",196075.41,278732.88,"0","0",2
9,"CASH_OUT",455434.19,"C281999371",160290,0,"C932184785",468692.96,1067809.05,"0","0",2
184,"TRANSFER",200129.34,"C1695846826",6086,0,"C1117332087",255908.87,456038.21,"0","0",1
190,"CASH_OUT",26106.32,"C2043234977",0,0,"C2086671936",71677.04,97783.36,"0","0",2
323,"TRANSFER",19042270.05,"C218292910",0,0,"C1860395363",53271305.69,72313575.74,"0","0",1
563,"CASH_OUT",132887.85,"C834125941",296557,163669.15,"C1259477768",2734.99,135622.84,"0","0",2
185,"CASH_OUT",327002.28,"C1423294105",5890,0,"C1854817508",2294837.88,2621840.15,"0","0",2
281,"CASH_OUT",13690.99,"C1995930928",363,0,"C1406423304",2136671.29,2150362.28,"0","0",2
201,"CASH_OUT",245717.68,"C242208718",0,0,"C556951372",1442674.61,1688392.29,"0","0",2
307,"CASH_OUT",215011.31,"C1588031222",182250.04,0,"C2040010045",786922.38,1001933.7,"0","0",2
303,"TRANSFER",550680.17,"C536343451",50509,0,"C1165438013",0,550680.17,"0","0",1
329,"CASH_OUT",130678.51,"C118093392",40435,0,"C1314077979",0,130678.51,"0","0",2
214,"CASH_OUT",120276.85,"C1423329261",10889,0,"C1583894527",564547.42,684824.28,"0","0",2
356,"CASH_OUT",67266.39,"C1662880159",19957,0,"C542192069",0,67266.39,"0","0",2
19,"TRANSFER",1105173.15,"C342152431",18829,0,"C2107268831",943554.05,2048727.2,"0","0",1
332,"CASH_OUT",268490.84,"C109676008",0,0,"C1381697385",355601.94,624092.78,"0","0",2
251,"CASH_OUT",355851.37,"C1399815497",313,0,"C338802304",0,739167.97,"0","0",2
180,"CASH_OUT",45955.26,"C198620850",7008,0,"C274925035",0,45955.26,"0","0",2
156,"CASH_OUT",9667.22,"C794941036",171,0,"C512037099",77248.31,86915.53,"0","0",2
36,"CASH_OUT",134192.97,"C1994528033",32541,0,"C1364875525",38185.93,172378.9,"0","0",2
251,"TRANSFER",504336.75,"C1092596628",0,0,"C1292872924",510724.81,1015061.57,"0","0",1
156,"TRANSFER",1338336.5,"C2056436974",937,0,"C815505328",5206840.51,6545177.01,"0","0",1
94,"TRANSFER",212025.17,"C2088241493",0,0,"C1294874354",1479436.87,1691462.04,"0","0",1
277,"TRANSFER",129356.45,"C1517279660",90106,0,"C1603204048",184958.01,314314.46,"0","0",1
522,"CASH_OUT",60958.71,"C732245093",10726,0,"C134030308",1301322.74,1362281.44,"0","0",2
280,"CASH_OUT",429579.7,"C1224252737",0,0,"C201806962",3699269.02,4128848.72,"0","0",2
207,"CASH_OUT",101127.1,"C803331654",297614,196486.9,"C1478760633",693637.59,794764.69,"0","0",2
380,"CASH_OUT",65811.08,"C2035952795",32042,0,"C1516124493",1174398.03,1240209.11,"0","0",2
274,"CASH_OUT",323996.36,"C272118143",40723,0,"C609283263",32802.51,469057.16,"0","0",2
136,"CASH_OUT",164942.89,"C709895105",28243.16,0,"C1019803375",11424,0,"0","0",2
404,"CASH_OUT",164829.71,"C618942127",0,0,"C1073474403",641071.27,805900.98,"0","0",2
163,"CASH_OUT",185314.1,"C52734250",0,0,"C1138835161",239467.69,424781.79,"0","0",2
201,"CASH_OUT",191749.04,"C323550664",0,0,"C543423045",208844.62,400593.66,"0","0",2
34,"CASH_OUT",321366.55,"C1363298070",78240,0,"C926747885",0,321366.55,"0","0",2
131,"CASH_OUT",199050.37,"C1197082319",3615,0,"C1304535661",303622.36,502672.73,"0","0",2
236,"CASH_OUT",159228.42,"C1449881680",2837,0,"C1474695154",1538876.86,1698105.28,"0","0",2
230,"TRANSFER",975267.13,"C1132529163",36483,0,"C1333217389",0,975267.13,"0","0",1
356,"CASH_OUT",59252.53,"C97786364",0,0,"C1372680258",2171474.49,2230727.02,"0","0",2
161,"CASH_OUT",259375.76,"C1552509752",10565,0,"C32165615",0,259375.76,"0","0",2
399,"CASH_OUT",291663.84,"C9765511",11145,0,"C740353854",0,291663.84,"0","0",2
353,"CASH_OUT",225048.4,"C1883939943",0,0,"C587796821",392960.09,618008.49,"0","0",2
332,"CASH_OUT",66037.12,"C1632284163",54516.28,0,"C1887621828",1472232.5,1538269.62,"0","0",2
309,"TRANSFER",858893.3,"C1711588349",0,0,"C2094006654",3772433.81,4631327.11,"0","0",1
22,"CASH_OUT",75182.25,"C385385162",13152,0,"C1081989118",316787.63,391969.88,"0","0",2
137,"CASH_OUT",97458.54,"C1585022590",0,0,"C1380336408",835356.52,932815.07,"0","0",2
209,"CASH_OUT",74967.16,"C1649611506",29963,0,"C1206774228",508525.9,583493.06,"0","0",2
277,"CASH_OUT",152074.65,"C1914841087",41349,0,"C1821386415",475249.44,627324.09,"0","0",2
235,"CASH_OUT",441822.54,"C1871300884",15174,0,"C1771394896",1126190.3,1568012.84,"0","0",2
308,"CASH_OUT",1808.76,"C1704627825",0,0,"C932661490",880540.96,882349.72,"0","0",2
260,"TRANSFER",492129.54,"C1763852287",0,0,"C2017114427",1278297.25,1770426.78,"0","0",1
378,"CASH_OUT",22974.8,"C797897443",6061,0,"C1548172116",315122.98,338097.77,"0","0",2
20,"CASH_OUT",150196.51,"C1813205857",0,0,"C2144721330",981494.27,1134852.46,"0","0",2
251,"CASH_OUT",146454.37,"C1969625623",0,0,"C1265155465",237663.83,384118.21,"0","0",2
141,"CASH_OUT",38870.22,"C2042085672",12159,0,"C226968661",742364.48,781234.7,"0","0",2
44,"CASH_OUT",63127.16,"C1989850532",10202,0,"C1736064195",166283.48,229410.65,"0","0",2
37,"CASH_OUT",38516.55,"C1964208491",50355,11838.45,"C125759404",169929.98,208446.52,"0","0",2
347,"CASH_OUT",35028.91,"C1738187325",11623,0,"C617856505",137768.46,172797.37,"0","0",2
326,"TRANSFER",303315.85,"C1723390031",0,0,"C2082489469",1241108.01,1544423.86,"0","0",1
350,"CASH_OUT",8187.09,"C1470065613",400,0,"C1362298840",0,8187.09,"0","0",2
15,"CASH_OUT",87833.36,"C1595682165",0,0,"C809719074",307178.64,520308.69,"0","0",2
214,"TRANSFER",273090.86,"C536228855",13241,0,"C270398556",76444.56,349535.42,"0","0",1
10,"TRANSFER",1177509.44,"C1683850963",0,0,"C290567466",1599151.51,2863023.84,"0","0",1
43,"CASH_OUT",41379.65,"C976234082",147974.39,106594.74,"C249901200",280926.02,322305.68,"0","0",2
306,"CASH_OUT",162794.03,"C1989590071",0,0,"C1052505822",1036900.93,1199694.96,"0","0",2
154,"CASH_OUT",147171.88,"C668355401",0,0,"C1070856103",345479.46,492651.33,"0","0",2
280,"CASH_OUT",126618.88,"C1251002260",0,0,"C154693382",337372.23,463991.12,"0","0",2
284,"CASH_OUT",32969.57,"C2146113658",0,0,"C2146338772",1433058.08,1466027.65,"0","0",2
202,"TRANSFER",732720.25,"C914791395",820,0,"C640417440",0,732720.25,"0","0",1
187,"CASH_OUT",79510.82,"C1919853738",0,0,"C128432434",807674.17,887184.99,"0","0",2
131,"CASH_OUT",543834.49,"C1102075548",237492,0,"C574628584",7087.14,550921.63,"0","0",2
36,"CASH_OUT",157133.82,"C1413417105",0,0,"C1547590185",2423267.32,2580401.14,"0","0",2
187,"CASH_OUT",63543.04,"C1667939131",129441,65897.96,"C1850964693",0,63543.04,"0","0",2
399,"CASH_OUT",131689.73,"C2013433569",0,0,"C1419087522",1558053.33,1689743.07,"0","0",2
226,"TRANSFER",955410.06,"C320551954",0,0,"C2094174944",1069327.4,2024737.46,"0","0",1
370,"CASH_OUT",239608.99,"C2105115472",173196,0,"C351139858",701345.54,940954.53,"0","0",2
187,"TRANSFER",845147.44,"C2116257880",0,0,"C436062906",3876496.24,4721643.68,"0","0",1
353,"CASH_OUT",208708.09,"C1320772790",0,0,"C699580121",1610476.82,1819184.92,"0","0",2
278,"CASH_OUT",27317.43,"C399150904",0,0,"C1776456958",274041.63,301359.06,"0","0",2
40,"CASH_OUT",44358.63,"C2080241557",0,0,"C1713489043",65920.61,110279.24,"0","0",2
155,"CASH_OUT",283086.56,"C1400844085",0,0,"C883841715",7960804.08,8243890.64,"0","0",2
165,"CASH_OUT",232730.62,"C1150412621",10279,0,"C1583920143",6459989.86,6692720.48,"0","0",2
34,"CASH_OUT",259641.01,"C53702509",0,0,"C537790602",2099788.33,2359429.34,"0","0",2
202,"CASH_OUT",7544.83,"C1290393717",21014,13469.17,"C1145104403",76724.85,84269.69,"0","0",2
11,"CASH_OUT",30378.93,"C1330015909",1560259.42,1529880.48,"C1104693947",1144185.56,3167753.06,"0","0",2
13,"CASH_OUT",75773.53,"C647416167",18793.04,0,"C496974419",1923938.98,1999712.52,"0","0",2
403,"CASH_OUT",75502.01,"C2053753506",0,0,"C673541860",84763.03,160265.04,"0","0",2
206,"CASH_OUT",347221.33,"C1955110716",0,0,"C105015847",6223053.11,6570274.43,"0","0",2
188,"TRANSFER",87732.96,"C2027133749",0,0,"C1576552660",88479.67,176212.63,"0","0",1
33,"CASH_OUT",74902.19,"C678009028",273613.74,198711.55,"C148221420",2704728.07,2779630.26,"0","0",2
16,"CASH_OUT",162674.16,"C1535648755",433,0,"C1030490609",104823,532228.83,"0","0",2
158,"CASH_OUT",254209.33,"C1686410850",11504,0,"C432787639",0,254209.33,"0","0",2
371,"TRANSFER",1374396.16,"C1874861223",3198,0,"C812406293",4059275.7,5433671.86,"0","0",1
331,"CASH_OUT",103959.51,"C1718826083",51997,0,"C1158572719",38917.56,142877.06,"0","0",2
186,"CASH_OUT",51862.67,"C287439139",5016,0,"C1292521135",0,51862.67,"0","0",2
179,"CASH_OUT",384950.6,"C1607852719",0,0,"C1762630514",955570.18,1340520.79,"0","0",2
307,"CASH_OUT",3323.45,"C414356941",31135,27811.55,"C807841750",0,3323.45,"0","0",2
399,"CASH_OUT",178013.26,"C1964299220",23098,0,"C225493357",3055827.54,3233840.8,"0","0",2
307,"CASH_OUT",87640.69,"C1238838531",866728,779087.31,"C773898763",9140367.68,9228008.37,"0","0",2
280,"CASH_OUT",250951.1,"C634651775",311106.34,60155.25,"C1676070690",1312124.93,1563076.03,"0","0",2
181,"CASH_OUT",44540.46,"C1026680622",14590,0,"C263879130",47157.95,91698.41,"0","0",2
281,"CASH_OUT",55186.27,"C1582662449",22221,0,"C2125504734",193085.48,248271.75,"0","0",2
382,"CASH_OUT",169637.02,"C1319865238",31664,0,"C813957897",1126999.82,1296636.84,"0","0",2
333,"CASH_OUT",139772.72,"C338560443",0,0,"C230637214",756173.28,895946,"0","0",2
394,"TRANSFER",135670.97,"C315806594",1480,0,"C1495436211",0,135670.97,"0","0",1
375,"CASH_OUT",250668.5,"C193734396",0,0,"C1083799378",736520.92,987189.41,"0","0",2
133,"CASH_OUT",371392.41,"C270106675",82171,0,"C455624751",305238.16,676630.58,"0","0",2
10,"CASH_OUT",113321.98,"C1045529457",112450,0,"C181158603",0,113321.98,"0","0",2
331,"CASH_OUT",159950.09,"C1091539604",10818,0,"C118026516",0,159950.09,"0","0",2
522,"CASH_OUT",103030.21,"C568006562",58160,0,"C122054113",0,103030.21,"0","0",2
39,"TRANSFER",795289.37,"C946042973",0,0,"C1854925027",41259370.36,42054659.73,"0","0",1
16,"CASH_OUT",476262.65,"C1911338007",0,0,"C1140028291",1723848.18,2200110.83,"0","0",2
179,"CASH_OUT",1374.74,"C842435242",0,0,"C833808924",1062093.49,1063468.23,"0","0",2
185,"CASH_OUT",412497.22,"C127529886",66626,0,"C717960631",0,430585.64,"0","0",2
274,"CASH_OUT",92499.86,"C1615829214",24942,0,"C437017046",1256628.42,1349128.28,"0","0",2
162,"CASH_OUT",158315.96,"C1503540753",11449,0,"C1186946484",0,158315.96,"0","0",2
184,"CASH_OUT",232769.13,"C1294858562",99936,0,"C1049051870",0,232769.13,"0","0",2
255,"TRANSFER",1144446.63,"C550872927",0,0,"C1854529454",1742017.96,2886464.59,"0","0",1
201,"CASH_OUT",343571.08,"C2121006254",0,0,"C2035503782",1227248.97,1570820.05,"0","0",2
161,"CASH_OUT",71505.38,"C272075174",40535,0,"C481676959",0,71505.38,"0","0",2
331,"CASH_OUT",117013.3,"C969159242",0,0,"C1431063655",1270492.29,1387505.59,"0","0",2
307,"CASH_OUT",94360.69,"C1774379472",0,0,"C1893421795",11215644,11310004.69,"0","0",2
347,"TRANSFER",701378.81,"C1034732483",0,0,"C1203394933",1263965.7,1965344.52,"0","0",1
547,"CASH_OUT",170584.18,"C1786125708",21175,0,"C1389167934",0,170584.18,"0","0",2
228,"CASH_OUT",227043.66,"C704465115",30089.51,0,"C1443608710",1677738.42,1904782.08,"0","0",2
154,"CASH_OUT",226198.12,"C1638202968",0,0,"C1347593921",325111.31,551309.43,"0","0",2
331,"CASH_OUT",98472.08,"C837404184",0,0,"C711371091",8238901.22,8337373.3,"0","0",2
596,"CASH_OUT",138742.91,"C1897036329",53277,0,"C139812168",0,138742.91,"0","0",2
256,"CASH_OUT",107654.39,"C365219748",90722,0,"C1130120186",0,107654.39,"0","0",2
42,"CASH_OUT",24635.42,"C995996241",0,0,"C47315041",1292229.01,1316864.42,"0","0",2
329,"CASH_OUT",427692.16,"C656452829",154076,0,"C157727787",822359.03,1250051.19,"0","0",2
401,"CASH_OUT",287153.48,"C1244483489",45959,0,"C81603459",470579.27,757732.76,"0","0",2
403,"TRANSFER",3331799.37,"C665117708",0,0,"C1388341962",5688524.12,9020323.49,"0","0",1
401,"CASH_OUT",242332.73,"C858094549",523,0,"C794942664",612993.34,855326.07,"0","0",2
17,"CASH_OUT",135977.94,"C1812341131",0,0,"C1327114391",1655153.33,1791131.27,"0","0",2
352,"CASH_OUT",162654.77,"C1502261254",31916,0,"C1129200349",800074.3,962729.06,"0","0",2
476,"CASH_OUT",24075.17,"C2083918967",0,0,"C2035486823",589229.32,613304.49,"0","0",2
213,"CASH_OUT",108965.05,"C277607189",39726,0,"C145684373",0,108965.05,"0","0",2
255,"CASH_OUT",124074.53,"C852209558",18151,0,"C1906296486",151714.02,275788.55,"0","0",2
402,"CASH_OUT",152150.61,"C653513276",0,0,"C488301189",2517984.44,2670135.05,"0","0",2
163,"CASH_OUT",48845.3,"C1693900705",100887,52041.7,"C523273059",593650.7,642496,"0","0",2
154,"CASH_OUT",17322.31,"C1950745453",0,0,"C423567002",80212.42,97534.74,"0","0",2
258,"CASH_OUT",113704.23,"C166434752",24123.58,0,"C1638003048",1242123.52,1355827.75,"0","0",2
130,"CASH_OUT",124133.75,"C584802043",45569,0,"C804196840",138029.65,262163.41,"0","0",2
349,"CASH_OUT",212682.65,"C1615758214",10574,0,"C390891",0,212682.65,"0","0",2
257,"CASH_OUT",15271.61,"C1551756284",0,0,"C1973463892",1004252.75,1019524.36,"0","0",2
381,"CASH_OUT",14075.35,"C1937220408",0,0,"C562376382",324322.34,338397.69,"0","0",2
380,"CASH_OUT",59192.47,"C1584246421",255837,196644.53,"C1048803253",475417.81,534610.28,"0","0",2
300,"CASH_OUT",173192.11,"C742393642",159778,0,"C384851216",1763237.32,1936429.43,"0","0",2
355,"CASH_OUT",59280.61,"C1165523318",57773.58,0,"C1924262784",11695765.45,11755046.06,"0","0",2
274,"CASH_OUT",286696.37,"C1769667369",0,0,"C405426959",907643.56,1194339.93,"0","0",2
138,"TRANSFER",105100.63,"C913830655",0,0,"C1735834368",1587763.93,1692864.57,"0","0",1
154,"TRANSFER",352411.54,"C1503215245",0,0,"C565608291",361670.25,714081.8,"0","0",1
139,"CASH_OUT",371502.8,"C344113285",0,0,"C1913137700",6224329.13,6595831.93,"0","0",2
187,"CASH_OUT",431325.08,"C10829885",0,0,"C79427771",2173251.88,2604576.96,"0","0",2
163,"CASH_OUT",46883.66,"C1174729478",10499,0,"C987136924",50916.97,97800.62,"0","0",2
156,"TRANSFER",889936.42,"C482183179",0,0,"C1925837024",3719071.6,4609008.02,"0","0",1
352,"CASH_OUT",227485.79,"C922763530",88697,0,"C274168690",0,227485.79,"0","0",2
201,"CASH_OUT",145485.95,"C1294676666",25430,0,"C132758522",241260.48,386746.43,"0","0",2
325,"CASH_OUT",306367.29,"C1559930144",0,0,"C1557388302",3628740.55,3935107.83,"0","0",2
8,"TRANSFER",121517.54,"C88196996",20059,0,"C466409782",0,121517.54,"0","0",1
154,"TRANSFER",727974.26,"C197854412",0,0,"C1831625804",2155672.49,2883646.75,"0","0",1
41,"CASH_OUT",70492.34,"C2001159070",31471,0,"C991633018",4874772.67,4945265.01,"0","0",2
355,"TRANSFER",47124.74,"C858559202",0,0,"C1335152829",124381.4,171506.14,"0","0",1
16,"CASH_OUT",315832.03,"C24532543",10397,0,"C334294637",3538601.3,3854433.33,"0","0",2
19,"CASH_OUT",43343.04,"C285135265",50844,7500.96,"C951206487",813726.43,857069.47,"0","0",2
253,"CASH_OUT",50791.81,"C246032141",0,0,"C580868559",493615.46,544407.27,"0","0",2
235,"CASH_OUT",119723.98,"C246578785",30085,0,"C978087099",0,119723.98,"0","0",2
403,"CASH_OUT",435510.87,"C528754155",0,0,"C877228673",564054.26,999565.13,"0","0",2
277,"CASH_OUT",72038.75,"C1028470182",65,0,"C1384453072",362064.34,434103.09,"0","0",2
239,"CASH_OUT",39502.85,"C1761560056",120050.94,80548.08,"C266061344",1611966.48,1651469.33,"0","0",2
403,"TRANSFER",1643583.63,"C2022599414",0,0,"C2056863111",8667143.2,10310726.83,"0","0",1
154,"CASH_OUT",312800.48,"C1059148616",10313,0,"C1500116313",2677187.55,2989988.03,"0","0",2
422,"CASH_OUT",249605.13,"C457107548",20560,0,"C750372763",2850.72,252455.85,"0","0",2
252,"TRANSFER",634151.93,"C972754634",22367,0,"C2014491987",13688.13,647840.05,"0","0",1
401,"CASH_OUT",299211.62,"C1115093",11424,0,"C1142190335",87466.37,386677.99,"0","0",2
375,"CASH_OUT",43181.42,"C244804053",10917,0,"C357162087",0,43181.42,"0","0",2
300,"CASH_OUT",131114.49,"C885894795",49176,0,"C286738540",0,131114.49,"0","0",2
400,"CASH_OUT",251814.47,"C1239144531",8482,0,"C804380810",0,251814.47,"0","0",2
163,"CASH_OUT",226175.26,"C178661490",0,0,"C1260651126",961277.76,1258308.37,"0","0",2
355,"CASH_OUT",159946.57,"C2022102343",0,0,"C1725608689",1816732.55,1976679.12,"0","0",2
161,"CASH_OUT",113760.73,"C904499797",0,0,"C135640250",529940.04,643700.77,"0","0",2
379,"CASH_OUT",21725.9,"C2018669817",111223,89497.1,"C1884572820",0,21725.9,"0","0",2
182,"CASH_OUT",225051.37,"C869479463",0,0,"C1562638534",3544497.69,3566163.04,"0","0",2
298,"TRANSFER",2320199.59,"C379133557",0,0,"C1815038153",1486598.96,3806798.54,"0","0",1
301,"CASH_OUT",101366.86,"C429732646",20812,0,"C2031470999",392363.34,493730.2,"0","0",2
180,"CASH_OUT",27066.17,"C1063130056",0,0,"C884861479",639802.41,666868.58,"0","0",2
